"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista COFFEE PLANT Sweet Brazil Shot 250g","Średnio palona brazylijska arabika przeznaczona do ekspresów ciśnieniowych. COFFEE PLANT Sweet Brazil Shot posiada słodki smak z nutami czekolady, orzechów, truskawek i miodu.",34.99,"COFFEE PLANT",4.84,112," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Truskawki Miód Czekolada",0.6,0.2,0.2,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.13996,"Premium (0.1 - 0.2)",51.2217453822105
"Kawa ziarnista Belmio Ristretto Blend 1kg","Ciemno palona kawa ziarnista we włoskim stylu przeznaczona do ekspresów ciśnieniowych. Belmio Ristretto Blend ma intensywny aromat i czekoladowo-owocowy profil smakowy.",63.99,"BELMIO",0,0," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Belgia"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Zboże Czekolada Owoce",1,1,0.6,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte",NA,1000,0.06399,"Mid-range (0.05 - 0.1)",0
"Kawa ziarnista STARBUCKS® HOLIDAY BLEND 190g","Świąteczna edycja aromatycznej kawy ziarnistej od Starbucks. Starbucks Holiday Blend posiada intensywny smak z wyczuwalnymi nutami ziołowo-klonowymi i będzie idealnym dodatkiem do świątecznych wypieków.",25.99,"STARBUCKS®",4.76,38," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 190g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Zioła Syrop klonowy",0.6,0.6,0.2,0.6," Ameryka Środkowa Ameryka Południowa Indonezja"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",190,0.136789473684211,"Premium (0.1 - 0.2)",29.3426106541323
"Kawa ziarnista Cornella Barista PRO Premium Grade 96 1kg","Średnio palona mieszanka ziaren arabiki, która pochodzi z hiszpańskiej palarni Cornella. Kawa idealnie sprawdzi się w ekspresach automatycznych i kolbowych, a przygotowane z niej espresso rozbudzi nasze zmysły.",134.99,"CORNELLA",4.9,115," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Hiszpania"," Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Kakao Lukrecja",0.6,0.6,0.6,NA,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.13499,"Premium (0.1 - 0.2)",52.5466459443417
"ZESTAW - Kawa ziarnista Costa Coffee Crema Blend 2x1kg","Costa Coffee Caffe Crema Blend to kawa ziarnista, która jest mieszanką wysokiej jakości arabiki i robusty. Jest to jedna z kaw produkowanych przez Costa Coffee znaną jako jedna z największych sieci kawiarni na świecie.",117.58,"COSTA COFFEE",4.94,16," Arabika, Robusta",NA," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny",NA,NA,NA,NA,NA,NA,NA," Blend / Mieszanki"," Espresso Kawa czarna Latte Cappuccino"," Nie",1000,0.11758,"Premium (0.1 - 0.2)",19.76
"ZESTAW - Kawa ziarnista Bazzara AROMAMORE 2x1kg + szklanka termiczna Small Latte 250 ml","Zestaw składa się z dwóch opakowań kawy ziarnistej Bazzara Aromamore oraz jednej szklanki termicznej Small Latte o pojemności 250 ml.",249.99,"BAZZARA",5,13," 70% Arabika, 30% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do ekspresu automatycznego Do ekspresu kolbowego Do biura Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Orzechy Suszona morela",1,0.6,0.6,0.6," Indie Brazylia Kolumbia Kostaryka"," Blend / Mieszanki"," Cappuccino Espresso Latte Kawa czarna",NA,1000,0.24999,"Luxury (> 0.2)",18.0277563773199
"ZESTAW - Kawa ziarnista Bazzara DOLCEVIVACE 2x1kg + szklanka termiczna Cappuccino 210 ml","Zestaw składa się z dwóch opakowań kawy ziarnistej Bazzara Dolcevivace i jednej szklanki termicznej do Cappuccino o pojemności 210 ml.",199.98,"BAZZARA",5,10," 50% Arabika, 50% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do ekspresu automatycznego Do biura Do kawiarni Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Miód Owoce kandyzowane",1,1,0.6,0.6," Brazylia Indie Wietnam"," Blend / Mieszanki"," Cappuccino Espresso Latte",NA,1000,0.19998,"Premium (0.1 - 0.2)",15.8113883008419
"Kawa ziarnista Bazzara AROMAMORE 1kg","W smaku wyczuwalne kwaskawe nutki, które nadają świeżości kawie i tworzą wspaniały, intensywny aromat przypominający zapach kakao i suszonej moreli. Kawa pozostawia po sobie miłe wrażenia smakowe. Skład: 70% Arabica, 30% Robusta",132.99,"BAZZARA",4.96,336," 70% Arabika, 30% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do ekspresu automatycznego Do ekspresu kolbowego Do biura Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Orzechy Suszona morela",1,0.6,0.6,0.6," Indie Brazylia Kolumbia Kostaryka"," Blend / Mieszanki"," Cappuccino Espresso Latte Kawa czarna",NA,1000,0.13299,"Premium (0.1 - 0.2)",90.9183017879239
"Kawa ziarnista Trip Coffee Nikaragua 250g","Średnio palona arabika z Nikaragui przeznaczona do ekspresów i kawiarek. Trip Coffee Nikaragua zachwyca przyjemną kwasowością z wyczuwalną nutą Earl Grey, owoców tropikalnych i delikatną słodycza kakao.",32.99,"TRIP COFFEE",5,22," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Herbata Earl Grey Owoce tropikalne Kakao",0.6,0.6,0.6,0.2," Nikaragua",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.13196,"Premium (0.1 - 0.2)",23.4520787991171
"Kawa ziarnista Trip Coffee Kolumbia 250g","Średnio palona kolumbijska arabika przeznaczona do ekspresów i kawiarek. Trip Coffee Kolumbia posiada słodki smak z wyczuwalną nuta czerwonych owoców, orzechów i czekolady deserowej.",30.99,"TRIP COFFEE",4.93,28," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada deserowa Orzechy Czerwone owoce",0.6,0.2,1,1," Kolumbia",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.12396,"Premium (0.1 - 0.2)",26.0871079270969
"Kawa ziarnista Trip Coffee Brazylia 250g","Średnio palona brazylijska arabika przeznaczona do ekspresów ciśnieniowych. Trip Coffee Brazylia ma świetnie zrównoważony smak z nutami mlecznej czekolady, orzechów i cukru trzcinowego.",27.99,"TRIP COFFEE",4.92,75," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Orzechy Cukier trzcinowy",0.6,0.6,0.6,0.6," Brazylia",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.11196,"Premium (0.1 - 0.2)",42.6084498661944
"Kawa ziarnista Trip Coffee Gwatemala Dark 1kg","Ciemno palona arabika z Gwatemali przeznaczona do ekspresów i kawiarek. Trip Coffee Gwatemala Dark posiada wyraźnie słodki smak z wyczuwalną nutą pomarańczy, rodzynek i czekolady.",124.99,"TRIP COFFEE",0,0," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Pomarańcze Rodzynki Czekolada",1,0.6,0.2,1," Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.12499,"Premium (0.1 - 0.2)",0
"ZESTAW - Kawa ziarnista Trip Coffee Nikaragua 1kg + kubek termiczny","Kawa ziarnista Trip Coffee Nikaragua 1 kg w zestawie z kubkiem termicznym Kambukka Olympus 300 ml. Kambukka Olympus to szczelny kubek, dzięki któremu gorącą kawę lub zimny napój zabierzesz ze sobą na wycieczkę, lub do pracy.",214.98,"TRIP COFFEE",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Herbata Earl Grey Owoce tropikalne Kakao",0.6,0.6,0.6,0.2," Nikaragua",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.21498,"Luxury (> 0.2)",0
"ZESTAW - Kawa ziarnista Trip Coffee Kolumbia 1kg + kubek termiczny","Kawa ziarnista Trip Coffee Kolumbia 1 kg w zestawie z kubkiem termicznym Kambukka Olympus 300 ml. Kambukka Olympus to szczelny kubek, dzięki któremu gorącą kawę lub zimny napój zabierzesz ze sobą na wycieczkę, lub do pracy.",204.98,"TRIP COFFEE",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada deserowa Orzechy Czerwone owoce",0.6,0.2,1,1," Kolumbia",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.20498,"Luxury (> 0.2)",5
"ZESTAW - Kawa ziarnista Trip Coffee Etiopia 1kg + kubek termiczny","Kawa ziarnista Trip Coffee Etiopia 1 kg w zestawie z kubkiem termicznym Kambukka Olympus 300 ml. Kambukka Olympus to szczelny kubek, dzięki któremu gorącą kawę lub zimny napój zabierzesz ze sobą na wycieczkę, lub do pracy.",234.98,"TRIP COFFEE",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Brzoskwinie Herbata Earl Grey Kwiaty",0.6,0.2,1,0.6," Etiopia",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.23498,"Luxury (> 0.2)",5
"Kawa ziarnista Costa Coffee Signature Blend 1kg","Klasyczna, średnio palona mieszanka ziaren arabiki i robusty, która daje przyjemnie słodką kawę. Costa Coffee Signature Blend zachwyca karmelowo-orzechowym posmakiem i sprawdzi się do parzenia w ekspresach.",54.99,"COSTA COFFEE",4.96,288," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Karmel Orzechowe ciasteczka",0.6,0.2,0.2,1,NA," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.05499,"Mid-range (0.05 - 0.1)",84.1739912324466
"Kawa ziarnista Costa Coffee Bright Latin Blend 1kg","Costa Coffee Bright Latin Blend to mieszanka wysokogatunkowej arabiki pochodzącej z Ameryki Południowej. Jest to kawa ziarnista, która posiada słodki smak i może być przygotowywana w formie espresso oraz cappuccino.",62.99,"COSTA COFFEE",4.95,259," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Karmel Owoce cytrusowe",0.6,0.2,0.2,1," Ameryka Południowa"," Blend / Mieszanki"," Espresso Kawa czarna Latte Cappuccino"," Nie",1000,0.06299,"Mid-range (0.05 - 0.1)",79.6627108501839
"Kawa ziarnista HAYB Yellow Espresso Blend 1kg","Średnio palona mieszanka ziaren arabiki z Brazylii i Gwatemali, która jest przeznaczona do ciśnieniowych metod parzenia. HAYB Yellow Espresso Blend posiada słodki smak z wyczuwalną nutą orzechów, czekolady i suszonych owoców.",129,"HAYB SPECIALITY COFFEE",4.82,45," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki Do biura Do domu Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada Suszone owoce Orzechy",0.6,0.2,0.6,0.2," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna",NA,1000,0.129,"Premium (0.1 - 0.2)",32.333542954647
"ZESTAW - Kawa ziarnista Costa Coffee Signature Blend zestaw 2x1kg + Costa Coffee Bright Blend 200g","Klasyczna, średnio palona mieszanka ziaren arabiki i robusty, która daje przyjemnie słodką kawę. Costa Coffee Signature Blend zachwyca karmelowo-orzechowym posmakiem i sprawdzi się do parzenia w ekspresach.",124.13,"COSTA COFFEE",5,8," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 2200"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Karmel Orzechowe ciasteczka",0.6,0.2,0.2,1,NA," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",2200,0.0564227272727273,"Mid-range (0.05 - 0.1)",14.142135623731
"ZESTAW - COFFEE PLANT Sweet Brazil Shot 250g + Waga Timemore Mini Espresso","Waga Timemore Mini espresso w zestawie z kawą ziarnistą COFFEE PLANT Sweet Brazil Shot 250g.",245.51,"COFFEE PLANT",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Truskawki Miód Czekolada",0.6,0.2,0.2,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna",NA,250,0.98204,"Luxury (> 0.2)",0
"Kawa ziarnista Lucaffe Blucaffe 700g","Wyjątkowa i prestiżowa mieszanka ziaren Arabiki pochodzących z upraw na Jamaice i Robusty, czyni tą kawę klejnotem wśród kolekcji Lucaffe. Charakteryzuje się aksamitnym smakiem o delikatnie wyczuwalnej nucie czekolady. Kawa idealna dla koneserów espresso.",234.99,"LUCAFFE",4.89,28," 90% Arabika, 10% Robusta"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 700g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada",0.6,NA,0.2,0.6,NA," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",700,0.3357,"Luxury (> 0.2)",25.8754478222117
"ZESTAW Kawa ziarnista Pellini Top 1kg + Etno Cafe Yirgacheffe 1kg","Zestaw składający się ze słynnej włoskiej mieszanki Pellini Top i kawy z polskiej palarni Etno Cafe. Kawy znajdujące się w zestawie doskonale sprawdzą się do przygotowania espresso i kaw mlecznych.",225,"PELLINI",5,1,NA,NA,NA," Kawa ziarnista"," Włochy Polska"," Do ekspresu automatycznego Do ekspresu kolbowego Do biura"," 2000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny",NA,NA,NA,NA,NA,NA,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",2000,0.1125,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Costa Coffee Colombian Roast 500g","Kolumbijska arabika Single Origin, która posiada przyjemnie słodki smak karmelu, miodu i pomarańczy. Costa Coffee Colombian Roast jest polecana do przygotowania espresso z ekspresu ciśnieniowego.",34.99,"COSTA COFFEE",4.84,51," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Miód Owoce",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",500,0.06998,"Mid-range (0.05 - 0.1)",34.5645135941474
"Kawa ziarnista The White Bear Brazylia Guaxupe 1kg","Stuprocentowa brazylijska arabika wypalana w białostockiej palarni kawy. The White Bear Brazylia Guaxupe posiada przyjemny słodki smak i jest przeznaczona do przygotowania espresso.",112,"THE WHITE BEAR",4.91,11," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Karmel Kwiaty",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.112,"Premium (0.1 - 0.2)",16.284627720645
"Kawa ziarnista The White Bear Brazylia Guaxupe 250g","Wysokiej jakości ziarna brazylijskiej arabiki, które zostały wypalone w białostockiej palarni. The White Bear Brazylia Guaxupe posiada przyjemny słodki smak i jest przeznaczona do przygotowania espresso.",38,"THE WHITE BEAR",4.89,9," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Karmel Kwiaty",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.152,"Premium (0.1 - 0.2)",14.67
